no_trees,max_trees,max_depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,16384.0
1.0,5.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,32768.0
1.0,5.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,32768.0
1.0,25.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,32768.0
1.0,25.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,32768.0
1.0,50.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,32768.0
1.0,50.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,32768.0
1.0,100.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,32768.0
1.0,100.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,32768.0
1.0,1000.0,3.0,1.0,1.0,1.0,47.0,32.0,0.53125,0.0,32768.0
1.0,1000.0,5.0,1.0,1.0,1.0,95.0,32.0,0.53125,0.0,32768.0
5.0,5.0,3.0,7.0,32.0,28.0,988.0,3840.0,0.9109375,0.000976562,0.0
5.0,5.0,5.0,13.0,60.0,76.0,2067.0,11520.0,0.93125,0.000976562,0.0
25.0,25.0,3.0,15.0,186.0,179.0,5949.0,25440.0,0.93125,0.000976562,0.0
25.0,25.0,5.0,18.0,388.0,416.0,12910.0,63360.0,0.9453125,0.000976562,0.0
50.0,50.0,3.0,20.0,392.0,379.0,12600.0,54240.0,0.94375,0.000976562,0.0
50.0,50.0,5.0,29.0,935.0,953.0,30738.0,146080.0,0.9546875,0.000976562,0.0
100.0,100.0,3.0,28.0,789.0,768.0,25491.0,110080.0,0.95,0.000976562,0.0
100.0,100.0,5.0,35.0,1998.0,2010.0,65704.0,308800.0,0.9859375,0.000976562,0.0
1000.0,1000.0,3.0,35.0,7336.0,7308.0,240526.0,1041280.0,0.9796875,0.000976562,0.0
1000.0,1000.0,5.0,35.0,20029.0,20041.0,659955.0,3078560.0,0.978125,0.000976562,0.0
100.0,100.0,3.0,28.0,789.0,768.0,25491.0,110080.0,0.95,0.00195312,0.0
1000.0,1000.0,3.0,35.0,7336.0,7308.0,240526.0,1041280.0,0.9796875,0.00195312,0.0
100.0,100.0,3.0,28.0,789.0,768.0,25491.0,110080.0,0.95,0.00390625,0.0
1000.0,1000.0,3.0,35.0,7306.0,7278.0,239536.0,1036480.0,0.9796875,0.00390625,0.0
100.0,100.0,3.0,28.0,789.0,768.0,25491.0,110080.0,0.95,0.0078125,0.0
1000.0,1000.0,3.0,35.0,7328.0,7300.0,240262.0,1040000.0,0.9828125,0.0078125,0.0
100.0,100.0,3.0,28.0,789.0,768.0,25491.0,110080.0,0.95,0.015625,0.0
1000.0,1000.0,3.0,35.0,7381.0,7353.0,242011.0,1048480.0,0.98125,0.015625,0.0
5.0,5.0,3.0,7.0,32.0,28.0,988.0,3840.0,0.9109375,0.03125,0.0
5.0,5.0,5.0,13.0,60.0,76.0,2067.0,11520.0,0.93125,0.03125,0.0
25.0,25.0,3.0,15.0,186.0,179.0,5949.0,25440.0,0.93125,0.03125,0.0
25.0,25.0,5.0,17.0,387.0,415.0,12866.0,63200.0,0.9453125,0.03125,0.0
50.0,50.0,3.0,20.0,392.0,379.0,12600.0,54240.0,0.94375,0.03125,0.0
50.0,50.0,5.0,27.0,940.0,959.0,30944.0,147040.0,0.9546875,0.03125,0.0
100.0,100.0,3.0,27.0,788.0,768.0,25479.0,110080.0,0.95,0.03125,0.0
100.0,100.0,5.0,33.0,1983.0,1996.0,65219.0,306560.0,0.9875,0.03125,0.0
1000.0,1000.0,3.0,35.0,7389.0,7361.0,242275.0,1049760.0,0.9796875,0.03125,0.0
1000.0,1000.0,5.0,34.0,20270.0,20282.0,667928.0,3117120.0,0.9765625,0.03125,0.0
100.0,100.0,3.0,26.0,782.0,763.0,25302.0,109280.0,0.9546875,0.0625,0.0
1000.0,1000.0,3.0,35.0,7321.0,7293.0,240031.0,1038880.0,0.9796875,0.0625,0.0
100.0,100.0,3.0,26.0,783.0,764.0,25335.0,109440.0,0.95,0.125,0.0
1000.0,1000.0,3.0,35.0,7346.0,7318.0,240856.0,1042880.0,0.98125,0.125,0.0
100.0,100.0,3.0,26.0,787.0,768.0,25467.0,110080.0,0.95,0.25,0.0
1000.0,1000.0,3.0,34.0,7219.0,7192.0,236686.0,1022720.0,0.98125,0.25,0.0
100.0,100.0,3.0,24.0,785.0,767.0,25442.0,109920.0,0.95,0.5,0.0
1000.0,1000.0,3.0,34.0,7399.0,7371.0,242625.0,1051360.0,0.9796875,0.5,0.0
5.0,5.0,3.0,5.0,29.0,27.0,924.0,3680.0,0.9109375,1.0,0.0
5.0,5.0,5.0,12.0,66.0,73.0,2276.0,11040.0,0.93125,1.0,0.0
25.0,25.0,3.0,10.0,179.0,176.0,5822.0,24960.0,0.93125,1.0,0.0
25.0,25.0,5.0,16.0,371.0,415.0,12374.0,63200.0,0.9453125,1.0,0.0
50.0,50.0,3.0,16.0,384.0,374.0,12412.0,53440.0,0.9421875,1.0,0.0
50.0,50.0,5.0,23.0,917.0,955.0,30284.0,146400.0,0.9578125,1.0,0.0
100.0,100.0,3.0,21.0,785.0,770.0,25505.0,110400.0,0.95,1.0,0.0
100.0,100.0,5.0,29.0,1976.0,2008.0,65087.0,308480.0,0.984375,1.0,0.0
1000.0,1000.0,3.0,32.0,7228.0,7202.0,237017.0,1024320.0,0.9828125,1.0,0.0
