model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
cegb,breastcancer,8,8,2,0.03125,0.9692307692307692,0.0,0.9298245614035088,54,0.9296703296703296
cegb,breastcancer,1,1,4,0.125,0.621978021978022,0.0,0.6491228070175439,7,0.621978021978022
cegb,breastcancer,2,2,4,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.621978021978022
cegb,breastcancer,8,8,4,0.0078125,0.9736263736263736,0.0,0.9298245614035088,88,0.9296703296703296
cegb,breastcancer,1,1,2,0.5,0.621978021978022,0.0,0.6491228070175439,3,0.621978021978022
cegb,breastcancer,2,2,1,0.0078125,0.621978021978022,0.0,0.6491228070175439,6,0.621978021978022
cegb,breastcancer,32,2,2,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
cegb,breastcancer,4,2,8,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
lgbm_base,breastcancer,1,1,1,0.0,0.621978021978022,0.0,0.6491228070175439,3,0.654945054945055
cegb,breastcancer,4,4,1,0.03125,0.8967032967032967,0.0,0.868421052631579,12,0.8923076923076924
cegb,breastcancer,2,2,8,0.125,0.621978021978022,0.0,0.6491228070175439,12,0.621978021978022
cegb,breastcancer,32,13,4,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9318681318681318
cegb,breastcancer,16,16,4,0.03125,0.978021978021978,0.0,0.9298245614035088,112,0.9406593406593406
lgbm_base,breastcancer,2,2,2,0.0,0.621978021978022,0.0,0.6491228070175439,14,0.7208791208791208
cegb,breastcancer,64,64,1,0.0078125,0.9868131868131867,0.0,0.9385964912280702,192,0.956043956043956
cegb,breastcancer,4,4,2,0.0078125,0.9516483516483516,0.0,0.9385964912280702,28,0.9032967032967032
lgbm_base,breastcancer,32,32,1,0.0,0.9692307692307692,0.0,0.9385964912280702,96,0.945054945054945
ccp,kr-vs-kp,2,2,4,0.5,1.3838633025543745,0.0,0.5125,2,0.5246437744618395
cegb,breastcancer,8,8,1,0.125,0.9186813186813186,0.0,0.8947368421052632,24,0.9186813186813187
cegb,breastcancer,128,43,2,0.0078125,0.9912087912087912,0.0,0.9298245614035088,275,0.9626373626373628
cegb,breastcancer,16,13,2,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9296703296703296
cegb,kr-vs-kp,8,8,2,0.03125,0.9076682316118936,0.0,0.890625,42,0.907674902152642
lgbm_quant,breastcancer,1,1,1,0.0,0.621978021978022,0.0,0.6491228070175439,3,0.654945054945055
lgbm_base,breastcancer,8,8,8,0.0,0.9736263736263736,0.0,0.9298245614035088,212,0.934065934065934
cegb,breastcancer,64,2,4,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
lgbm_quant,breastcancer,32,32,1,0.0,0.9692307692307692,0.0,0.9385964912280702,96,0.945054945054945
cegb,breastcancer,32,25,8,0.03125,0.9868131868131867,0.0,0.9298245614035088,159,0.956043956043956
cegb,kr-vs-kp,4,4,2,0.0078125,0.9076682316118936,0.0,0.890625,20,0.907674902152642
cegb,breastcancer,64,13,8,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9318681318681318
cegb,breastcancer,16,16,8,0.0078125,0.9802197802197802,0.0,0.9298245614035088,162,0.9428571428571428
ccp,kr-vs-kp,16,16,1,0.5,1.3838633025543745,0.0,0.5125,16,0.5246437744618395
cegb,kr-vs-kp,1,1,8,0.03125,0.9589201877934272,0.0,0.95625,25,0.9440519508317023
lgbm_quant,breastcancer,2,2,2,0.0,0.621978021978022,0.0,0.6491228070175439,14,0.7208791208791208
cegb,kr-vs-kp,4,1,8,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,breastcancer,128,2,8,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
ccp,kr-vs-kp,2,2,1,0.0078125,1.3097857518305371,0.0,0.5125,6,0.5453874143835616
cegb,kr-vs-kp,1,1,4,0.125,0.940923317683881,0.0,0.940625,11,0.9409284796966731
cegb,kr-vs-kp,32,1,2,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
ccp,kr-vs-kp,2,2,8,0.125,1.3838633025543745,0.0,0.5125,2,0.5246437744618395
ccp,kr-vs-kp,1,1,2,0.5,1.3838633025543745,0.0,0.5125,1,0.5246437744618395
cegb,kr-vs-kp,2,2,8,0.125,0.940923317683881,0.0,0.940625,20,0.9409284796966731
cegb,kr-vs-kp,1,1,2,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
ccp,kr-vs-kp,4,4,1,0.03125,1.2522529775319926,0.0,0.734375,12,0.7867355675146771
cegb,kr-vs-kp,16,3,2,0.125,0.9076682316118936,0.0,0.890625,15,0.907674902152642
ccp,kr-vs-kp,8,8,2,0.03125,1.1109716446315832,0.0,0.890625,24,0.907674902152642
ccp,kr-vs-kp,8,8,1,0.125,1.3838633025543745,0.0,0.5125,8,0.5246437744618395
ccp,kr-vs-kp,16,16,4,0.03125,1.0550847276034612,0.0,0.890625,34,0.907674902152642
lgbm_quant,breastcancer,8,8,8,0.0,0.9736263736263736,0.0,0.9298245614035088,212,0.934065934065934
cegb,kr-vs-kp,16,1,1,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,kr-vs-kp,256,20,2,0.03125,0.940923317683881,0.0,0.940625,114,0.9409284796966731
ccp,kr-vs-kp,4,4,2,0.0078125,1.0875104666915767,0.0,0.890625,22,0.907674902152642
cegb,kr-vs-kp,2,1,4,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,breastcancer,1,1,8,0.03125,0.621978021978022,0.0,0.6491228070175439,7,0.621978021978022
ccp,kr-vs-kp,1,1,8,0.03125,1.2520137295344886,0.0,0.890625,7,0.907674902152642
lgbm_base,breastcancer,64,64,2,0.0,0.9978021978021978,0.0,0.9385964912280702,448,0.9714285714285716
cegb,breastcancer,128,34,1,0.03125,0.9736263736263736,0.0,0.9385964912280702,102,0.9450549450549448
cegb,kr-vs-kp,16,14,4,0.03125,0.940923317683881,0.0,0.940625,150,0.9409284796966731
cegb,breastcancer,16,2,1,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
cegb,kr-vs-kp,64,64,1,0.0078125,0.940923317683881,0.0,0.940625,192,0.9397543113992172
ccp,kr-vs-kp,16,16,2,0.125,1.3838633025543745,0.0,0.5125,16,0.5246437744618395
cegb,kr-vs-kp,128,46,1,0.03125,0.9076682316118936,0.0,0.890625,138,0.907674902152642
cegb,kr-vs-kp,128,1,8,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,kr-vs-kp,32,14,8,0.03125,0.9612676056338028,0.0,0.9640625,298,0.9561812010763208
cegb,kr-vs-kp,16,16,8,0.0078125,0.9690923317683882,0.0,0.9703125,566,0.9589216915362032
cegb,breastcancer,256,25,2,0.03125,0.9824175824175824,0.0,0.9298245614035088,143,0.945054945054945
cegb,kr-vs-kp,256,27,4,0.0078125,0.9448356807511736,0.0,0.9453125,311,0.9424932729941292
cegb,breastcancer,256,13,1,0.125,0.931868131868132,0.0,0.9385964912280702,39,0.9318681318681318
cegb,breastcancer,256,37,4,0.0078125,0.9956043956043956,0.0,0.9473684210526316,391,0.9692307692307692
cegb,kr-vs-kp,256,7,1,0.125,0.9076682316118936,0.0,0.890625,21,0.907674902152642
ccp,kr-vs-kp,1,1,4,0.125,1.3838633025543745,0.0,0.5125,1,0.5246437744618395
ccp,kr-vs-kp,16,16,8,0.0078125,0.622162658667008,0.0,0.940625,92,0.9409284796966731
cegb,kr-vs-kp,32,3,4,0.125,0.940923317683881,0.0,0.940625,29,0.9409284796966731
cegb,kr-vs-kp,2,2,1,0.0078125,0.5246478873239436,0.0,0.5125,6,0.5453874143835616
cegb,kr-vs-kp,8,8,4,0.0078125,0.940923317683881,0.0,0.940625,100,0.9409284796966731
ccp,kr-vs-kp,8,8,4,0.0078125,0.6868901286880844,0.0,0.940625,72,0.9409284796966731
cegb,kr-vs-kp,4,4,1,0.03125,0.7597809076682316,0.0,0.734375,12,0.7597824425146771
ccp,kr-vs-kp,64,64,1,0.0078125,0.823423442972545,0.0,0.890625,130,0.907674902152642
cegb,kr-vs-kp,64,1,4,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
ccp,kr-vs-kp,4,4,8,0.5,1.3838633025543745,0.0,0.5125,4,0.5246437744618395
ccp,kr-vs-kp,32,32,2,0.5,1.3838633025543745,0.0,0.5125,32,0.5246437744618395
cegb,kr-vs-kp,64,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409284796966731
lgbm_base,breastcancer,128,128,4,0.0,1.0,0.0,0.9473684210526316,2500,0.975824175824176
cegb,kr-vs-kp,8,7,1,0.125,0.9076682316118936,0.0,0.890625,21,0.907674902152642
cegb,kr-vs-kp,128,53,2,0.0078125,0.940923317683881,0.0,0.940625,323,0.9409284796966731
lgbm_quant,breastcancer,64,64,2,0.0,0.9956043956043956,0.0,0.9385964912280702,448,0.9714285714285716
ccp,kr-vs-kp,32,32,4,0.125,1.3838633025543745,0.0,0.5125,32,0.5246437744618395
lgbm_quant,breastcancer,128,128,4,0.0,1.0,0.0,0.9473684210526316,2500,0.975824175824176
ccp,kr-vs-kp,128,128,1,0.03125,1.22521849902008,0.0,0.890625,138,0.8751895792563602
lgbm_base,breastcancer,256,256,8,0.0,1.0,0.0,0.9385964912280702,5722,0.9802197802197804
ccp,kr-vs-kp,32,32,8,0.03125,1.0550847197585005,0.0,0.890625,50,0.907674902152642
ccp,kr-vs-kp,64,64,4,0.5,1.3838633025543745,0.0,0.5125,64,0.5246437744618395
ccp,kr-vs-kp,128,128,2,0.0078125,0.7117286312394508,0.0,0.890625,198,0.9119801859099804
lgbm_quant,breastcancer,256,256,8,0.0,1.0,0.0,0.9385964912280702,5722,0.9802197802197804
ccp,breastcancer,128,128,1,0.03125,0.5973586216887155,0.0,0.9473684210526316,148,0.9186813186813186
ccp,kr-vs-kp,256,256,1,0.125,1.3838633025543745,0.0,0.5125,256,0.5246437744618395
ccp,kr-vs-kp,64,64,8,0.125,1.3838633025543745,0.0,0.5125,64,0.5246437744618395
ccp,kr-vs-kp,256,256,2,0.03125,1.1109716056320396,0.0,0.890625,272,0.907674902152642
ccp,breastcancer,128,128,2,0.0078125,0.3500952375624088,0.0,0.9298245614035088,180,0.945054945054945
ccp,breastcancer,256,256,1,0.125,1.079392066972563,0.0,0.6491228070175439,260,0.621978021978022
ccp,kr-vs-kp,512,512,1,0.5,1.3838633025543745,0.0,0.5125,512,0.5246437744618395
ccp,breastcancer,64,64,8,0.125,1.0793920669871035,0.0,0.6491228070175439,68,0.621978021978022
ccp,kr-vs-kp,256,256,4,0.0078125,0.621942698568622,0.0,0.940625,332,0.9409284796966731
ccp,kr-vs-kp,128,128,8,0.5,1.3838633025543745,0.0,0.5125,128,0.5246437744618395
ccp,kr-vs-kp,512,512,2,0.125,1.3838633025543745,0.0,0.5125,512,0.5246437744618395
ccp,breastcancer,256,256,2,0.03125,0.5973586216887152,0.0,0.9473684210526316,276,0.9186813186813186
ccp,breastcancer,512,512,1,0.5,1.3261749607812408,0.0,0.6491228070175439,512,0.621978021978022
cegb,breastcancer,1024,2,2,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
ccp,breastcancer,128,128,8,0.5,1.3261749607812408,0.0,0.6491228070175439,128,0.621978021978022
cegb,breastcancer,1024,25,8,0.03125,0.9868131868131867,0.0,0.9298245614035088,159,0.956043956043956
ccp,kr-vs-kp,512,512,4,0.03125,1.0550847194795492,0.0,0.890625,530,0.907674902152642
cegb,kr-vs-kp,512,1,1,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
ccp,kr-vs-kp,1024,1024,2,0.5,1.3838633025543745,0.0,0.5125,1024,0.5246437744618395
cegb,kr-vs-kp,1024,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409284796966731
ccp,breastcancer,256,256,4,0.0078125,0.3500952375624083,0.0,0.9298245614035088,308,0.9384615384615383
cegb,breastcancer,512,13,2,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9296703296703296
cegb,breastcancer,512,13,8,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9318681318681318
cegb,breastcancer,512,37,8,0.0078125,0.9956043956043956,0.0,0.9385964912280702,389,0.9692307692307692
cegb,kr-vs-kp,512,3,2,0.125,0.9076682316118936,0.0,0.890625,15,0.907674902152642
cegb,breastcancer,512,25,4,0.03125,0.9868131868131867,0.0,0.9298245614035088,159,0.956043956043956
cegb,breastcancer,512,2,1,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
cegb,kr-vs-kp,512,3,8,0.125,0.940923317683881,0.0,0.940625,29,0.9409284796966731
cegb,kr-vs-kp,512,26,8,0.0078125,0.976525821596244,0.0,0.96875,882,0.9698752446183952
cegb,kr-vs-kp,512,14,4,0.03125,0.940923317683881,0.0,0.940625,150,0.9409284796966731
ccp,breastcancer,512,512,2,0.125,1.0793920669725627,0.0,0.6491228070175439,516,0.621978021978022
cegb,breastcancer,1024,13,4,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9318681318681318
cegb,breastcancer,1024,13,8,0.125,0.956043956043956,0.0,0.9385964912280702,45,0.9318681318681318
cegb,breastcancer,1024,2,8,0.5,0.621978021978022,0.0,0.6491228070175439,6,0.7186813186813187
cegb,breastcancer,1024,37,8,0.0078125,0.9956043956043956,0.0,0.9385964912280702,389,0.9692307692307692
cegb,kr-vs-kp,1024,3,4,0.125,0.940923317683881,0.0,0.940625,29,0.9409284796966731
cegb,kr-vs-kp,1024,1,8,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,kr-vs-kp,1024,14,8,0.03125,0.9612676056338028,0.0,0.9640625,298,0.9561812010763208
cegb,kr-vs-kp,1024,1,2,0.5,0.5246478873239436,0.0,0.5125,1,0.5246437744618395
cegb,kr-vs-kp,1024,26,8,0.0078125,0.976525821596244,0.0,0.96875,882,0.9698752446183952
ccp,kr-vs-kp,512,512,8,0.0078125,0.6221626565540811,0.0,0.940625,588,0.9409284796966731
ccp,kr-vs-kp,1024,1024,4,0.125,1.3838633025543745,0.0,0.5125,1024,0.5246437744618395
ccp,kr-vs-kp,512,512,8,0.125,1.3838633025543745,0.0,0.5125,512,0.5246437744618395
ccp,breastcancer,512,512,4,0.03125,0.5973586216887155,0.0,0.9473684210526316,532,0.9186813186813186
ccp,breastcancer,1024,1024,2,0.5,1.3261749607812408,0.0,0.6491228070175439,1024,0.621978021978022
ccp,breastcancer,512,512,8,0.125,1.0793920669725627,0.0,0.6491228070175439,516,0.621978021978022
ccp,kr-vs-kp,1024,1024,8,0.0078125,0.6221626565540811,0.0,0.940625,1100,0.9409284796966731
ccp,kr-vs-kp,1024,1024,8,0.03125,1.0550847194795492,0.0,0.890625,1042,0.907674902152642
ccp,breastcancer,512,512,8,0.0078125,0.3500952375624084,0.0,0.9298245614035088,564,0.9384615384615383
ccp,kr-vs-kp,1024,1024,8,0.5,1.3838633025543745,0.0,0.5125,1024,0.5246437744618395
ccp,kr-vs-kp,1024,1024,8,0.125,1.3838633025543745,0.0,0.5125,1024,0.5246437744618395
ccp,breastcancer,1024,1024,4,0.125,1.0793920669725627,0.0,0.6491228070175439,1028,0.621978021978022
ccp,breastcancer,1024,1024,8,0.125,1.0793920669725627,0.0,0.6491228070175439,1028,0.621978021978022
ccp,breastcancer,1024,1024,8,0.5,1.3261749607812408,0.0,0.6491228070175439,1024,0.621978021978022
ccp,breastcancer,1024,1024,8,0.03125,0.5973586216887155,0.0,0.9473684210526316,1044,0.9186813186813186
ccp,breastcancer,1024,1024,8,0.0078125,0.3500952375624083,0.0,0.9298245614035088,1076,0.9384615384615383
ccp,kr-vs-kp,2,2,4,0.25,1.3838633025543745,0.0,0.5125,2,0.5246437744618395
cegb,breastcancer,4,4,8,0.25,0.8967032967032967,0.0,0.868421052631579,12,0.8923076923076924
cegb,breastcancer,64,7,4,0.25,0.934065934065934,0.0,0.9385964912280702,21,0.9142857142857144
cegb,breastcancer,2,2,2,0.0,0.621978021978022,0.0,0.6491228070175439,14,0.7120879120879121
cegb,breastcancer,2,2,8,0.0625,0.621978021978022,0.0,0.6491228070175439,12,0.621978021978022
cegb,breastcancer,64,19,8,0.0625,0.9758241758241758,0.0,0.9298245614035088,83,0.9428571428571428
cegb,kr-vs-kp,8,8,2,0.015625,0.9076682316118936,0.0,0.890625,42,0.907674902152642
cegb,breastcancer,1,1,2,0.25,0.621978021978022,0.0,0.6491228070175439,3,0.621978021978022
cegb,breastcancer,1,1,8,0.015625,0.621978021978022,0.0,0.6491228070175439,11,0.621978021978022
cegb,breastcancer,8,8,8,0.0,0.9736263736263736,0.0,0.9298245614035088,224,0.9208791208791208
lgbm_base,kr-vs-kp,32,32,1,0.0,0.9076682316118936,0.0,0.890625,96,0.907674902152642
lgbm_quant,kr-vs-kp,32,32,1,0.0,0.9076682316118936,0.0,0.890625,96,0.907674902152642
